Year,State abbreviation,State annual NOx coal output emission rate (lb/MWh),State annual NOx oil output emission rate (lb/MWh),State annual NOx gas output emission rate (lb/MWh),State annual NOx fossil fuel output emission rate (lb/MWh),State ozone season NOx coal output emission rate (lb/MWh),State ozone season NOx oil output emission rate (lb/MWh),State ozone season NOx gas output emission rate (lb/MWh),State ozone season Nox fossil fuel output emission rate (lb/MWh),State annual SO2 coal output emission rate (lb/MWh),State annual SO2 oil output emission rate (lb/MWh),State annual SO2 gas output emission rate (lb/MWh),State annual SO2 fossil fuel output emission rate (lb/MWh),State annual CO2 coal output emission rate (lb/MWh),State annual CO2 oil output emission rate (lb/MWh),State annual CO2 gas output emission rate (lb/MWh),State annual CO2 fossil fuel output emission rate (lb/MWh)
1998,PA,4.385,7.446,0.604,4.305,4.158,4.853,0.535,4.077,17.497,3.359,0.135,16.988,2078.050,1841.330,968.887,2048.767
1998,RI,N/A,6.667,0.253,0.318,N/A,6.667,0.102,0.164,N/A,1.372,0.007,0.021,N/A,384.185,995.155,988.974
1998,SC,5.060,15.045,0.698,4.988,5.202,6.673,0.632,5.086,10.608,3.626,0.056,10.400,1857.722,2763.277,693.209,1836.594
1998,SD,15.053,13.745,1.346,14.310,15.102,5.698,1.185,13.547,14.009,3.242,0.013,13.197,2388.231,2347.443,1509.615,2340.873
1998,TN,8.154,N/A,0.506,8.121,8.065,N/A,0.506,8.036,16.233,N/A,0.003,16.163,2043.335,N/A,611.726,2037.161
1998,TX,4.063,2.590,2.182,3.017,4.010,2.590,2.384,3.043,9.896,6.106,0.008,4.416,2348.995,1765.563,1144.453,1680.819
1998,UT,4.665,49.249,4.499,4.666,4.692,49.249,3.409,4.667,2.023,0.712,0.015,1.994,2285.278,1865.985,1370.277,2272.230
1998,VA,6.107,3.357,0.816,5.782,6.073,3.078,0.689,5.705,12.324,0.749,0.051,11.537,2188.179,2310.047,1186.960,2131.010
1998,VT,N/A,12.962,N/A,12.962,N/A,62.339,N/A,62.339,N/A,5.706,N/A,5.706,N/A,2270.944,N/A,2270.944
1998,WA,5.027,76.402,1.379,4.140,5.059,58.051,1.260,3.975,16.216,1.652,0.101,12.291,2450.289,2673.433,1038.745,2106.553
1998,WI,5.485,0.914,2.493,5.326,5.419,0.892,1.868,5.199,10.846,0.132,0.173,10.398,2397.988,965.406,1725.192,2353.333
1998,WV,6.573,N/A,0.838,6.571,6.546,N/A,0.838,6.544,14.739,N/A,0.005,14.734,2067.186,N/A,999.350,2066.826
1998,WY,4.730,N/A,0.984,4.701,4.708,N/A,0.984,4.678,4.884,N/A,0.007,4.847,2556.118,N/A,1035.299,2544.391
1999,AK,11.286,18.799,3.129,6.691,11.397,19.597,3.465,7.253,7.682,7.874,0.036,2.199,2375.062,1765.935,1244.942,1455.243
1999,AL,4.969,1.600,2.842,4.932,4.886,1.600,2.444,4.841,14.518,0.385,0.071,14.272,2229.477,1341.184,1902.716,2223.533
1999,AR,3.581,9.720,3.264,3.556,3.626,8.558,3.598,3.657,6.219,0.860,0.357,5.283,2353.521,1616.886,1211.600,2172.431
1999,AZ,4.273,31.445,3.602,4.211,4.179,30.530,3.300,4.083,3.869,1.037,0.044,3.492,2278.123,1759.259,1288.899,2180.678
1999,CA,6.376,9.680,0.716,1.039,6.376,9.669,0.729,1.049,7.548,15.696,0.011,0.498,2176.678,2288.090,1051.835,1107.836
